company,ticker,metro,state,serving_utility,ba,zone,source_type,source_url,note,lat,lon,utility_parent,utility_ticker
Poolside,,Pecos County,TX,,ERCO,ERCO/FWES,press,https://www.datacenterfrontier.com/machine-learning/article/55326541/how-coreweave-and-poolside-are-teaming-up-in-west-texas-to-build-the-next-generation-of-ai-data-centers,"confidence=low. Project Horizon on Longfellow Ranch in the Permian Basin, planned behind-the-meter with aeroderivative turbines plus storage and grid-interconnect redundancy. CoreWeave was announced as anchor tenant for phase 1 but was separately reported in April 2026 to have exited, so the site may be undeveloped and carrying no load. Included for coverage with that caveat, not as an operating site.",,,,
Fermi America,FRMI,Amarillo (Carson County),TX,Southwestern Public Service,SWPP,SWPP/SPS,press,https://news.oilandgaswatch.org/post/texas-company-plans-massive-power-plants-to-fuel-intelligence-campus-named-after-trump,"confidence=medium. The HyperGrid campus sits on land leased from the Texas Tech University System in Carson County next to Pantex. The source says the plan requires 200 MW under a not-yet-finalised agreement with Southwestern Public Service and that most on-site generation would feed only the data centers. Amarillo is SPP/SPS territory, NOT ERCOT - the opposite of the Childress trap.",,,Xcel Energy Inc,XEL
Core Scientific,CORZ,Denton,TX,Denton Municipal Electric,ERCO,ERCO/NCEN,sec_filing,https://www.sec.gov/Archives/edgar/data/1839341/000162828024010682/core-20231231.htm,confidence=high. The 10-K power-provider table names Denton Municipal Electric at 297 MW. Core Scientific OWNS this campus; CoreWeave is its tenant (separate row). Converting from bitcoin mining to AI/HPC colocation.,,,,
Core Scientific,CORZ,Pecos (Reeves County),TX,Texas-New Mexico Power,ERCO,ERCO/FWES,sec_filing,https://www.sec.gov/Archives/edgar/data/1839341/000162828024010682/core-20231231.htm,"confidence=high. The 10-K lists the Cottonwood site at 253 MW served by Texas-New Mexico Power; Reeves County is the ERCOT Far West weather zone, the same Permian footprint the detector ranks 2nd.",,,TXNM Energy,TXNM
Core Scientific,CORZ,Dalton,GA,Dalton Utilities,SOCO,,sec_filing,https://www.sec.gov/Archives/edgar/data/1839341/000162828024010682/core-20231231.htm,"confidence=low. The 10-K lists Dalton 1-3 at 195 MW served by Dalton Utilities, so the utility is stated by an SEC filing. The SOCO balancing-authority attribution for this north Georgia municipal utility was NOT confirmed and is the weak link in this row.",,,,
Core Scientific,CORZ,Calvert City (Marshall County),KY,Tennessee Valley Authority,TVA,,sec_filing,https://www.sec.gov/Archives/edgar/data/1839341/000162828024010682/core-20231231.htm,"confidence=high. The 10-K names TVA as power provider for the 150 MW Marshall County site. Far western Kentucky is TVA, not LG&E/KU - a state-level mapping would get this wrong.",,,,
Hut 8,HUT,Vega (Texas Panhandle),TX,,ERCO,,sec_filing,https://www.sec.gov/Archives/edgar/data/1964789/000155837025001996/hut-20241231x10k.htm,"confidence=medium. TRAP, verified in the 10-K asset table: the Vega site's location is given only as ""Texas Panhandle"" - the band where a naive mapping says SPP - yet its power source is listed as ""Wind + ERCOT grid"", so it is ERCOT-connected via the CREZ build-out. 205 MW, still bitcoin mining. County not stated in the filing. On-site wind is behind the meter and invisible to EIA-930.",,,,
Hut 8,HUT,Orla (Reeves County),TX,,ERCO,ERCO/FWES,sec_filing,https://www.sec.gov/Archives/edgar/data/1964789/000155837025001996/hut-20241231x10k.htm,"confidence=medium. The 10-K asset table lists Salt Creek at Orla TX, 63 MW, power source ERCOT grid, bitcoin mining. Orla is in Reeves County, the ERCOT Far West weather zone - the same Permian footprint the detector ranks 2nd. Retail TDU not named in the filing.",,,,
Core Scientific,CORZ,Muskogee,OK,Oklahoma Gas and Electric,SWPP,SWPP/OKGE,sec_filing,https://www.sec.gov/Archives/edgar/data/1839341/000162828024010682/core-20231231.htm,"confidence=high. The 10-K electric-utility-provider table names Oklahoma Gas & Electric at 100 MW for Muskogee OK. OG&E is its own SPP sub-region, so this resolves cleanly rather than sitting at bare SWPP.",,,OGE Energy,OGE
Core Scientific,CORZ,Marble (Marble 1),NC,Murphy Electric Power Board,TVA,,sec_filing,https://www.sec.gov/Archives/edgar/data/1839341/000162828024010682/core-20231231.htm,"confidence=high. The 10-K table names Murphy Electric Power Board at 35 MW for Marble NC. Murphy EPB is a municipal TVA distributor in Cherokee County, so this site is TVA. Deliberately split from Marble 2 next door, which the same table puts on Duke - two adjacent facilities in one town on two DIFFERENT balancing authorities, which is exactly the kind of split a geographic mapping destroys.",,,,
Core Scientific,CORZ,Marble (Marble 2),NC,Duke Energy,DUK,,sec_filing,https://www.sec.gov/Archives/edgar/data/1839341/000162828024010682/core-20231231.htm,"confidence=medium. The 10-K table names Duke Energy at 68 MW for Marble NC, adjacent to Marble 1 on Murphy EPB/TVA. Far western NC is Duke Energy Carolinas rather than Duke Energy Progress, so DUK not CPLE; that sub-split is inferred from service territory, the utility itself is stated.",,,Duke Energy,DUK
Core Scientific,CORZ,Grand Forks,ND,Nodak Electric Cooperative,MISO,,sec_filing,https://www.sec.gov/Archives/edgar/data/1839341/000162828024010682/core-20231231.htm,"confidence=low. The 10-K table names Nodak Electric Cooperative at 100 MW for Grand Forks ND, so the utility is stated by an SEC filing. The BA is the weak link: Nodak is a Minnkota Power Cooperative member and eastern North Dakota is generally MISO, but MISO vs SWPP/WAUE for ND cooperative load was NOT confirmed. Same uncertainty as the Applied Digital Harwood row.",,,,
Hut 8,HUT,Niagara Falls,NY,,NYIS,NYIS/ZONA,sec_filing,https://www.sec.gov/Archives/edgar/data/1964789/000155837025001996/hut-20241231x10k.htm,confidence=medium. The Alpha 50 MW bitcoin mining site is listed as NYISO grid; Zone A is West/Niagara. Retail utility not named in the filing so left empty.,,,,
Galaxy Digital,GLXY,Dickens County (Helios),TX,,ERCO,,press,https://www.prnewswire.com/news-releases/galaxy-expands-data-center-footprint-with-acquisition-of-500-acre-campus-in-mcgregor-texas-302836014.html,confidence=high. The release states Helios is in Dickens County West Texas with more than 1.6 GW of ERCOT-approved power capacity. Fully converted from Argo bitcoin mining to AI/HPC under a CoreWeave lease. No utility named; ERCOT weather zone not established.,,,,
Stronghold Digital (acquired by Bitfarms/Keel),KEEL,Nesquehoning (Carbon County),PA,PPL Electric Utilities,PJM,PJM/PL,press,https://www.powermag.com/canada-bitcoin-miner-acquiring-two-pennsylvania-coal-plants/,"confidence=medium. The 80 MW Panther Creek waste-coal plant came via the March 2025 Stronghold acquisition. TWO CAVEATS THAT MATTER: mining runs behind the meter on the company's own plant so EIA-930 never sees the load, and the operator says it will offer the miners as PJM demand response, so the load is not flat. Ticker is KEEL (Bitfarms rebranded and redomiciled 6 Apr 2026); SDIG was delisted 17 Mar 2025.",,,PPL Corporation,PPL
Stronghold Digital (acquired by Bitfarms/Keel),KEEL,Venango County (Scrubgrass),PA,Pennsylvania Electric Company,PJM,PJM/PN,press,https://www.powermag.com/canada-bitcoin-miner-acquiring-two-pennsylvania-coal-plants/,"confidence=medium. The 85 MW Scrubgrass waste-coal plant from the same March 2025 deal; behind-the-meter mining on the co-located plant, so the load is invisible to EIA-930. Penelec is the electric distribution company for Venango County; that link is inferred. Ticker KEEL, see the Panther Creek row.",,,FirstEnergy,FE
MARA,MARA,Granbury (Hood County),TX,,ERCO,ERCO/NCEN,sec_filing,https://ir.mara.com/sec-filings/all-sec-filings/content/0001507605-26-000007/mara-20251231.htm,"confidence=medium. 300 MW energised of 550 MW owned and still bitcoin mining. The 10-K says its Central Texas sites are capable of on-site power generation and flare-gas utilisation, which EIA-930 would not see. NCEN inferred from Hood County's position in the DFW ring.",,,,
MARA,MARA,Kearney (Buffalo County),NE,Nebraska Public Power District,SWPP,SWPP/NPPD,press,https://www.publicpower.org/periodical/article/bitcoin-mining-operation-add-flexible-load-nppds-area,"confidence=high. NPPD built a dedicated substation for this site and explicitly describes the mining load as interruptible, so this is NOT flat load and should not be read as one. MARA acquired it out of the Compute North bankruptcy in 2023.",,,,
Vulcan Infrastructure and Power (formerly Greenidge),VIP,Torrey / Dresden (Yates County),NY,,NYIS,NYIS/ZONC,sec_filing,https://www.sec.gov/Archives/edgar/data/1844971/000162828025015543/gree-20241231.htm,"confidence=medium. The 10-K states all power for the New York datacenter comes from the company's own 106 MW behind-the-meter gas plant, so EIA-930 sees that plant's net sales into NYISO and never the datacenter load - the cleanest example in this file of a site our method structurally cannot see. Ticker changed from GREE to VIP on 24 Jul 2026.",,,,
Bitdeer,BTDR,Rockdale (Milam County),TX,,ERCO,,sec_filing,https://www.sec.gov/Archives/edgar/data/0001899123/000121390025107866/ea026473802ex99-1_bitdeer.htm,"confidence=high. 563 MW online and still bitcoin mining, with AI conversion only under evaluation. This is a SEPARATE facility from Riot's Rockdale site in the same county. TDU and ERCOT weather zone not established.",,,,
Bitdeer,BTDR,Knoxville,TN,Knoxville Utilities Board,TVA,,sec_filing,https://www.sec.gov/Archives/edgar/data/0001899123/000121390025107866/ea026473802ex99-1_bitdeer.htm,confidence=medium. 86 MW online with a 10 MW AI conversion targeted. Knoxville Utilities Board is a municipal TVA distributor so there is no listed parent.,,,,
Bitdeer,BTDR,Massillon (Stark County),OH,,PJM,,sec_filing,https://www.sec.gov/Archives/edgar/data/0001899123/000121390025107866/ea026473802ex99-1_bitdeer.htm,"confidence=medium. 221 MW in progress. All of Ohio is PJM so the BA is safe, but whether Massillon is Ohio Edison (ATSI zone) or AEP Ohio was not established, so the zone is deliberately blank.",,,,
Soluna,SLNH,Briscoe County (Silverton),TX,,ERCO,,company_disclosure,https://www.solunacomputing.com/news/soluna-secures-conditional-base-load-position-for-project-dorothys-100-mw-in-ercot-batch-zero/,"confidence=medium. Project Dorothy's 100 MW sits behind the meter at the Briscoe Wind Farm that Soluna owns, so EIA-930 does not see the load. It historically ran as curtailment-following FLEXIBLE load and is only now seeking ERCOT Base Load status - the flat-load assumption does not hold here. Briscoe County is another Panhandle-but-ERCOT site.",,,,
WhiteFiber (Bit Digital),WYFI,Madison (Rockingham County),NC,Duke Energy,DUK,,company_disclosure,https://bit-digital.com/press-releases/whitefiber-inc-bit-digitals-ai-unit-acquires-1000000-square-foot-north-carolina-industrial-property-to-support-up-to-200-mw-hpc-data-center-campus/,"confidence=low. NC-1 is AI/HPC from the start rather than converted mining, with a 99 MW Duke capacity agreement stated by the company. The DUK vs CPLE split for Rockingham County was NOT confirmed and those are two different balancing authorities, so the BA is the uncertain part of this row.",,,Duke Energy,DUK
Cipher Digital (Cipher Mining),CIFR,Odessa (Ector County),TX,Oncor Electric Delivery,ERCO,ERCO/FWES,sec_filing,https://www.sec.gov/Archives/edgar/data/1819989/000181998925000005/cifr-20241231.htm,"confidence=medium. 207 MW wholly owned and still bitcoin mining. The 10-K names Luminant ET Services as the PPA supplier, which is a retail electric provider and not the wires company; Oncor is the TDU for Ector County and that part is inferred. Company string matches the existing Wink row so the two group together.",,,Sempra,SRE
IREN,IREN,Sweetwater (Nolan County),TX,,ERCO,ERCO/WEST,company_disclosure,https://iren.com/data-centers/sweetwater,"confidence=medium. 2 GW AI/HPC campus with a direct ERCOT connection, substations energising 2026-2027, so there is little load yet and the detector will not see it in the 2025 data. County inferred from the town name because IREN's page says only West Texas.",,,,
TeraWulf,WULF,Lansing (Tompkins County),NY,,NYIS,NYIS/ZONC,company_disclosure,https://investors.terawulf.com/news-events/press-releases/detail/113/terawulf-secures-long-term-ground-lease-at-cayuga-site-to,"confidence=medium. The Cayuga site has rights to 400 MW with 138 MW ready for service in 2026, reusing a retired coal plant's 115 kV interconnection. Retail utility not named in the release; NYIS/ZONC inferred from Tompkins County.",,,,
Applied Digital,APLD,Harwood (Cass County),ND,Cass County Electric Cooperative,MISO,,company_disclosure,https://ir.applieddigital.com/news-events/press-releases/detail/127/applied-digital-to-break-ground-on-3-billion-polaris-forge,"confidence=medium. Polaris Forge 2 at 280 MW is AI/HPC rather than mining, powered by Cass County Electric Cooperative with Minnkota Power Cooperative. Eastern North Dakota is MISO rather than SPP - the state does not settle this - but the MISO sub-zone was not established.",,,,
Equinix,EQIX,Atlanta,GA,Georgia Power,SOCO,,company_disclosure,https://www.equinix.com/data-centers/americas-colocation/united-states-colocation/atlanta-data-centers/at1,"confidence=medium. Equinix lists IBX AT1 at Atlanta GA 30303 on its own page. COLOCATION: the load is drawn by Equinix's TENANTS, not by the REIT, which leases space and power. Georgia Power is the Atlanta core utility; that link is inferred but the BA is unambiguous.",,,Southern Company,SO
Equinix,EQIX,Chicago,IL,Commonwealth Edison,PJM,PJM/CE,company_disclosure,https://www.equinix.com/data-centers/americas-colocation/united-states-colocation/chicago-data-centers/ch2,"confidence=medium. Equinix lists IBX CH2 at Chicago IL 60616 on its own page. COLOCATION: the metered load is TENANTS' IT equipment, not the REIT's. ComEd is the Chicago utility; that link is inferred, the BA is unambiguous.",,,Exelon,EXC
Equinix,EQIX,Dallas,TX,Oncor Electric Delivery,ERCO,ERCO/NCEN,company_disclosure,https://www.equinix.com/data-centers/americas-colocation/united-states-colocation/dallas-data-centers/da1,"confidence=medium. Equinix lists IBX DA1 at Dallas TX 75207 on its own page. COLOCATION: the load belongs to TENANTS. Oncor is the Dallas TDU; that link is inferred, the BA and ERCOT zone are unambiguous.",,,Sempra,SRE
Equinix,EQIX,San Jose,CA,Pacific Gas and Electric,CISO,CISO/PGAE,company_disclosure,https://www.equinix.com/data-centers/americas-colocation/united-states-colocation/silicon-valley-data-centers/sv1,"confidence=high. Equinix's own page gives SV1 at 11 Great Oaks Boulevard San Jose CA 95119. San Jose is PG&E and NOT Silicon Valley Power: do not generalise this row to Santa Clara colo a few miles away, which is on a municipal utility. COLOCATION: load is TENANTS'.",,,PG&E Corporation,PCG
Equinix,EQIX,Secaucus,NJ,Public Service Electric and Gas,PJM,PJM/PS,company_disclosure,https://www.equinix.com/data-centers/americas-colocation/united-states-colocation/new-york-data-centers/ny4,"confidence=high. Equinix's own page gives NY4 at 755 Secaucus Rd Secaucus NJ 07094. Secaucus is PSE&G, the PJM PSEG zone. COLOCATION: the load belongs to TENANTS.",,,Public Service Enterprise Group,PEG
Digital Realty,DLR,Phoenix (Chandler),AZ,,SRP,,company_disclosure,https://www.digitalrealty.com/data-centers/americas/phoenix,"confidence=low. Digital Realty lists 5121 South Price Road Chandler AZ on its own Phoenix page. SERVING UTILITY DELIBERATELY BLANK: Chandler is genuinely split between SRP and Arizona Public Service, and those are two DIFFERENT balancing authorities (SRP vs AZPS), so the region assignment here is the weakest in this file. Treat SRP as provisional. COLOCATION: load is TENANTS'.",,,,
Digital Realty,DLR,Portland (Hillsboro),OR,Portland General Electric,PGE,,company_disclosure,https://www.digitalrealty.com/data-centers/americas/portland,"confidence=medium. Digital Realty lists Aloclek St and Schaaf St Hillsboro OR on its own Portland page. Hillsboro is Portland General Electric, its own balancing authority; that link is inferred. COLOCATION: load is TENANTS'.",,,Portland General Electric Company,POR
Vantage Data Centers,,Phoenix (Goodyear),AZ,Arizona Public Service,AZPS,,company_disclosure,https://vantage-dc.com/data-center-locations/north-america/phoenix-arizona/,"confidence=high. Vantage's own campus page gives 45 S Bullard Avenue Goodyear AZ and explicitly names Arizona Public Service with a dedicated onsite substation. Goodyear is APS, not SRP - the same metro contains both balancing authorities. WHOLESALE: the IT load is TENANTS' under lease.",,,Pinnacle West Capital,PNW
Vantage Data Centers,,Santa Clara,CA,Silicon Valley Power,CISO,,company_disclosure,https://vantage-dc.com/data-center-locations/north-america/santa-clara-i-california/,confidence=high. Vantage's own page gives 2820 Northwestern Parkway Santa Clara CA and names Silicon Valley Power. SVP is a MUNICIPAL utility (City of Santa Clara) operating as a metered subsystem inside CAISO - it is NOT in BANC - so ba=CISO with the sub-zone left blank. WHOLESALE: load is TENANTS'.,,,City of Santa Clara (municipal),
Vantage Data Centers,,Columbus (New Albany),OH,AEP Ohio,PJM,PJM/AEP,company_disclosure,https://vantage-dc.com/data-center-locations/north-america/new-albany-ohio/,"confidence=medium. Vantage's own page gives 3325 Horizon Court New Albany OH. New Albany is AEP Ohio, the PJM AEP zone; that link is inferred. WHOLESALE: the load is TENANTS' under hyperscale lease.",,,American Electric Power,AEP
CyrusOne,,San Antonio,TX,CPS Energy,ERCO,ERCO/SCEN,company_disclosure,https://www.cyrusone.com/data-centers/north-america/san-antonio-sat2-sat4,"confidence=medium. CyrusOne's own SAT2-SAT4 page places the campus west of downtown San Antonio off state highway 151, inside city limits where CPS Energy (municipal) is the retail provider; that link is inferred. COLOCATION: load belongs to TENANTS. CyrusOne is private (KKR/GIP) so no ticker.",,,City of San Antonio (municipal),
CyrusOne,,Cincinnati,OH,Duke Energy Ohio,PJM,PJM/DEOK,company_disclosure,https://www.cyrusone.com/data-centers/north-america/cincinnati-ohio,"confidence=medium. CyrusOne's own CIN2 page places the campus near downtown Cincinnati but gives no street address. Cincinnati retail service is Duke Energy Ohio, the PJM DEOK zone; inferred. COLOCATION: load belongs to TENANTS.",,,Duke Energy,DUK
QTS,,Richmond (Sandston),VA,Dominion Energy Virginia,PJM,PJM/DOM,company_disclosure,https://q.com/data-centers/richmond-1/,"confidence=high. QTS's own Richmond 1 page gives 6000 Technology Blvd Sandston VA. Sandston is Dominion Energy Virginia, the PJM Dominion zone. QTS leases to hyperscale TENANTS so the load is theirs. QTS is private (Blackstone) so no ticker.",,,Dominion Energy,D
QTS,,Cedar Rapids,IA,Interstate Power and Light,MISO,,company_disclosure,https://q.com/data-centers/cedar-rapids/,"confidence=low. QTS's own page gives 6200 76th Ave SW Cedar Rapids IA. Cedar Rapids retail service is Alliant Energy's Iowa utility inside MISO, but no source names the meter's utility, so this is a city-level assignment and the MISO sub-zone is blank. COLOCATION: load is TENANTS'.",,,Alliant Energy,LNT
Aligned Data Centers,,Salt Lake City (West Jordan),UT,Rocky Mountain Power,PACE,,company_disclosure,https://www.aligneddc.com/data-centers/salt-lake-city-data-centers/,confidence=medium. Aligned's own page gives 3333 W 9000 S West Jordan UT plus a West Valley City site. Wasatch Front retail service is Rocky Mountain Power = PacifiCorp East; inferred. WHOLESALE COLO: load is TENANTS'. Aligned is private so no ticker.,,,PacifiCorp (Berkshire Hathaway Energy),
Switch,,Las Vegas,NV,NV Energy (Nevada Power),NEVP,,company_disclosure,https://www.switch.com/las-vegas/,"confidence=high. Switch's own page places The Core campus in Las Vegas and claims 100 percent renewable energy. IMPORTANT: Switch exited NV Energy bundled generation service under Nevada NRS 704B but remains on NV Energy wires inside NEVP, so that claim is a PROCUREMENT claim and not a statement about the grid mix it physically draws from. COLOCATION: load is TENANTS'.",,,Berkshire Hathaway Energy,
Switch,,Reno (Tahoe Reno Industrial Center),NV,NV Energy (Sierra Pacific Power),NEVP,,company_disclosure,https://www.switch.com/tahoe-reno/,confidence=medium. Switch's own page places The Citadel campus in the Tahoe Reno Industrial Center but gives no street address. NV Energy operates a single consolidated NEVP balancing authority statewide. Same NRS 704B unbundled-procurement caveat as Las Vegas. COLOCATION: load is TENANTS'.,,,Berkshire Hathaway Energy,
Switch,,Grand Rapids,MI,Consumers Energy,MISO,,company_disclosure,https://www.switch.com/grand-rapids/,confidence=medium. Switch's own page places The Pyramid campus in Grand Rapids MI in a Renaissance Zone but gives no street address. Grand Rapids retail service is Consumers Energy inside MISO; sub-zone left blank. COLOCATION: load is TENANTS'.,,,CMS Energy,CMS
STACK Infrastructure,,Columbus (New Albany),OH,AEP Ohio,PJM,PJM/AEP,company_disclosure,https://www.stackinfra.com/locations/americas/new-albany/,confidence=medium. STACK's own page confirms the NAL01 New Albany OH campus but names no utility; AEP Ohio is the wires utility for New Albany and that link is inferred. WHOLESALE COLO: the load belongs to TENANTS who lease space and power.,,,American Electric Power,AEP
EdgeConneX,,Phoenix (Tempe),AZ,Salt River Project,SRP,,company_disclosure,https://www.edgeconnex.com/locations/americas/phoenix-az/,"confidence=medium. EdgeConneX's own page places PHX01 in Tempe near the ASU campus. Tempe is Salt River Project territory, NOT APS/AZPS - the Phoenix metro is split between two balancing authorities. Utility link inferred from the city. COLOCATION: load is TENANTS'.",,,,
DataBank,,Salt Lake City (Bluffdale),UT,Rocky Mountain Power,PACE,,company_disclosure,https://www.databank.com/data-centers/salt-lake-city/,confidence=high. DataBank's own page lists the Granite Point campus on Pony Express Rd in Bluffdale UT and names Rocky Mountain Power. COLOCATION: the metered load belongs to TENANTS leasing space and power.,,,PacifiCorp (Berkshire Hathaway Energy),
DataBank,,Minneapolis (Brooklyn Park),MN,Xcel Energy,MISO,MISO/0001,company_disclosure,https://www.databank.com/data-centers/minneapolis/,confidence=medium. DataBank's own page lists MSP3 at 8111 Oxbow Creek N Brooklyn Park MN and says an Xcel Energy substation powers the campus. COLOCATION: the load belongs to TENANTS.,,,Xcel Energy,XEL
Flexential,,Nashville (Franklin),TN,,TVA,,press,https://www.prnewswire.com/news-releases/two-major-data-center-expansions-continue-momentum-of-flexentials-national-footprint-300866116.html,"confidence=low. The release confirms Flexential's Nashville TN presence but names no utility, and flexential.com blocks automated fetch so nothing better could be opened. Middle Tennessee has several TVA local power companies so serving utility is blank; the TVA footprint itself is unambiguous. COLOCATION: load is TENANTS'.",,,,
Iron Mountain Data Centers,IRM,Edison,NJ,Public Service Electric and Gas,PJM,PJM/PS,company_disclosure,https://www.ironmountain.com/data-centers/locations/new-jersey-data-center,"confidence=high. Iron Mountain's own page gives 3003 Woodbridge Ave Edison NJ and states the site is powered by PSE&G. NOTE FOR THE CLAIMS LAYER: the same page claims 100 percent renewable energy MATCHING plus rooftop solar - matching is an annual accounting claim, not hourly supply. COLOCATION: load belongs to TENANTS.",,,Public Service Enterprise Group,PEG
Compass Datacenters,,Phoenix (Goodyear),AZ,Arizona Public Service,AZPS,,company_disclosure,https://www.compassdatacenters.com/markets/phoenix/,"confidence=medium. Compass's own markets page states Goodyear and El Mirage campuses but names no utility. Goodyear is APS territory so AZPS, unlike the SRP cities east of Phoenix; inferred from the city. BUILD-TO-SUIT: the load belongs to TENANTS who lease the buildings and power.",,,Pinnacle West Capital,PNW
NTT Global Data Centers Americas,,Portland (Hillsboro),OR,Portland General Electric,PGE,,press,https://www.cablinginstall.com/data-center/article/14168516/ntt-to-construct-data-center-campus-in-hillsboro-or,confidence=high. Trade press reporting NTT's announcement states the Hillsboro OR campus will reach five buildings and that Portland General Electric will supply power. WHOLESALE COLO: the load belongs to TENANTS.,,,Portland General Electric Company,POR
Prime Data Centers,,Chicago (Elk Grove Village),IL,Commonwealth Edison,PJM,PJM/CE,company_disclosure,https://primedatacenters.com/locations/chicago/,confidence=high. Prime's own page lists ORD01 on E Higgins Rd in Elk Grove Village IL and names ComEd with an adjacent on-site substation. HYPERSCALE WHOLESALE: the load belongs to the TENANTS who lease the buildings and power.,,,Exelon,EXC
Novva Data Centers,,Colorado Springs,CO,Colorado Springs Utilities,WACM,,company_disclosure,https://www.novva.com/data-center-facilities/colorado/,"confidence=high. Novva's own page describes the Colorado Springs campus and names Colorado Springs Utilities as the power supplier; CSU is municipal, inside WACM, and has no listed parent. COLOCATION: load belongs to TENANTS.",,,City of Colorado Springs (municipal),
Novva Data Centers,,Salt Lake City (West Jordan),UT,Rocky Mountain Power,PACE,,company_disclosure,https://www.novva.com/data-center-facilities/utah/,"confidence=medium. Novva's own page gives 6477 Wells Park Rd West Jordan UT and a dedicated line from a utility substation but does not name the utility; West Jordan is Rocky Mountain Power, inferred. NOTE: Novva has state approval for on-site gas generation here, so not all of this load is grid-served. COLOCATION: load belongs to TENANTS.",,,PacifiCorp (Berkshire Hathaway Energy),
Yondr,,Northern Virginia (Loudoun County),VA,Dominion Energy Virginia,PJM,PJM/DOM,company_disclosure,https://www.yondrgroup.com/newsroom/press-release/yondr-group-completes-first-rfs-milestone-for-second-building-at-96mw-northern-virginia-campus/,"confidence=medium. Yondr's own release confirms a two-building campus in Loudoun County with more planned on an adjacent parcel; no utility named but Loudoun is Dominion or NOVEC, both in the PJM Dominion zone. BUILD-TO-SUIT: the load belongs to the TENANT that leases the buildings and power.",,,Dominion Energy,D
Sabey Data Centers,,Quincy,WA,Grant County PUD,GCPD,,company_disclosure,https://sabeydatacenters.com/locations/quincy-data-center,"confidence=medium. Sabey's own page gives 2200 M St NE Quincy WA and advertises hydroelectric power but does not name the utility; Quincy is Grant County PUD, its own balancing authority reading essentially all Columbia River hydro. Third operator we have placed at Quincy alongside Microsoft and Vantage. COLOCATION: load belongs to TENANTS.",,,Grant County PUD (public power district),
Sabey Data Centers,,New York City (Manhattan),NY,Con Edison,NYIS,NYIS/ZONJ,company_disclosure,https://sabeydatacenters.com/locations/new-york-data-center,"confidence=medium. Sabey's own page gives 375 Pearl St New York NY (the former Verizon building) but names no utility; Manhattan retail service is Con Edison, NYISO Zone J; inferred. COLOCATION: the load belongs to TENANTS.",,,Consolidated Edison,ED
TierPoint,,Omaha (Papillion),NE,Omaha Public Power District,SWPP,SWPP/OPPD,company_disclosure,https://www.tierpoint.com/data-centers/nebraska/omaha-midlands/,"confidence=medium. TierPoint's own page gives 11425 South 84th Street Papillion NE but names no utility; Sarpy County is OPPD, a public power district, inferred. Same Sarpy County footprint as the existing Meta Papillion row, detector rank 7. COLOCATION: load belongs to TENANTS.",,,Omaha Public Power District (public),
T5 Data Centers,,Augusta,GA,Georgia Power,SOCO,,company_disclosure,https://t5datacenters.com/resources/t5-announces-augusta-campus/,"confidence=medium. T5's own release announces the T5@Augusta campus adjacent to Fort Gordon but names no utility; Augusta is Georgia Power, inferred. BUILD-TO-SUIT: the load belongs to TENANTS who lease the buildings and power.",,,Southern Company,SO
PowerHouse / Provident,,Dallas-Fort Worth (Ellis County),TX,Oncor Electric Delivery,ERCO,ERCO/NCEN,press,https://www.prnewswire.com/news-releases/powerhouse-and-provident-rewrite-the-data-center-playbook-with-new-texas-hyperscale-campus-302384924.html,"confidence=medium. The joint release places the campus in northern Ellis County TX just outside Grand Prairie with a planned switchyard and a first tranche approved through ERCOT; no utility named, Oncor is the TDU for that part of Ellis County, inferred. HYPERSCALE BUILD-TO-SUIT: load belongs to TENANTS.",,,Sempra,SRE
Edged Energy,,Atlanta,GA,Georgia Power,SOCO,,company_disclosure,https://edged.us/atlanta,"confidence=medium. Edged's own page lists ATL01 on Thomas St NW Atlanta GA with on-site substations for full buildout, but names no utility; Atlanta is Georgia Power, inferred. COLOCATION: the load belongs to TENANTS who lease space and power.",,,Southern Company,SO
